epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0778,1.66444,3.53916,1.3504,0.00663,0.92857,0.48857,0.24288,1.3923,3.38199,1.07848,0.00013336,0.00013336,0.00013336
2,168.62,1.45827,2.10482,1.13422,0.98401,0.33629,0.48938,0.25058,1.64883,3.17901,1.29462,0.000269362,0.000269362,0.000269362
3,245.783,1.37937,1.54945,1.08136,1,0.13487,0.49109,0.26451,1.73972,3.07966,1.35925,0.000390511,0.000390511,0.000390511
4,318.744,1.26532,1.25906,1.05953,0.00623,0.92857,0.43806,0.23715,1.62728,3.28305,1.322,0.000496808,0.000496808,0.000496808
5,396.321,1.30203,1.28086,1.08575,0.32684,0.4,0.37762,0.23669,1.46617,3.19972,1.35286,0.000588251,0.000588251,0.000588251
6,469.397,1.24914,1.16394,1.07297,1,0.0565,0.77511,0.49058,1.43679,3.12983,1.3181,0.000664841,0.000664841,0.000664841
7,544.086,1.21185,1.0676,1.06411,0.97256,0.65102,0.88142,0.56812,1.37327,2.50395,1.33261,0.000726579,0.000726579,0.000726579
8,620.909,1.25613,1.08714,1.05598,0.95255,0.73851,0.88913,0.52357,1.44465,2.38561,1.31734,0.000773463,0.000773463,0.000773463
9,695.617,1.19965,1.05698,1.06741,0.95605,0.81213,0.90306,0.55197,1.44469,2.3392,1.29904,0.000805494,0.000805494,0.000805494
10,768.978,1.26459,0.98166,1.09963,0.90959,0.85079,0.89978,0.55237,1.46109,2.151,1.2948,0.000822673,0.000822673,0.000822673
11,837.266,1.2585,1.28657,1.14943,0.81691,0.74488,0.82831,0.43782,1.70404,2.39153,1.38161,0.000824998,0.000824998,0.000824998
12,905.607,1.25875,1.25566,1.13247,0.87265,0.74768,0.88931,0.59143,1.52456,2.1852,1.29535,0.000759318,0.000759318,0.000759318
13,974.961,1.19641,1.22347,1.11523,0.9104,0.82734,0.903,0.55309,1.44114,1.95569,1.30668,0.000676802,0.000676802,0.000676802
14,1043.53,1.21127,1.14534,1.09819,0.94526,0.84429,0.90866,0.57333,1.46249,1.80771,1.36321,0.000594286,0.000594286,0.000594286
15,1111.81,1.16707,1.14932,1.08449,0.95223,0.83968,0.90128,0.55592,1.61309,1.71956,1.47967,0.000511769,0.000511769,0.000511769
16,1181.48,1.16309,1.09011,1.06727,0.91593,0.87867,0.90259,0.49463,1.57786,1.59085,1.5304,0.000429253,0.000429253,0.000429253
17,1249.58,1.22374,1.07357,1.07057,0.90895,0.87968,0.90803,0.53594,1.53238,1.60563,1.47481,0.000346736,0.000346736,0.000346736
18,1318.66,1.10442,1.00313,1.05433,0.92801,0.83968,0.91335,0.59919,1.62543,1.53053,1.5633,0.00026422,0.00026422,0.00026422
19,1389.05,1.06477,0.99046,1.05292,0.91394,0.84687,0.91324,0.59034,1.77521,1.50322,1.69354,0.000181703,0.000181703,0.000181703
20,1458.49,1.14709,0.98821,1.05565,0.93914,0.8619,0.91502,0.58118,1.76025,1.50159,1.64994,9.91865e-05,9.91865e-05,9.91865e-05
